Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
Musa Shaheen (DEN),2019-2019,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,
T Muzarabani (ZIM),2015-2016,9,1,1,0,0*,-,2,0.00,0,0,0,0,0,
Naveed Fakhr (KUW),2020-2020,1,1,1,0,0*,-,0,-,0,0,0,0,0,
Navid Abdollahpour (Iran),2020-2020,2,1,1,0,0*,-,2,0.00,0,0,0,0,0,
Nawaf Ahmed (KUW),2019-2019,1,1,1,0,0*,-,0,-,0,0,0,0,0,
A Nel (SA),2005-2007,2,1,1,0,0*,-,2,0.00,0,0,0,0,0,
AA Noffke (AUS),2007-2008,2,1,0,0,0,0.00,0,-,0,0,1,0,0,
Noor Momand (Belg),2019-2019,2,1,1,0,0*,-,0,-,0,0,0,0,0,
L Nussbaumer (GUE),2019-2019,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
A Orfila (GIBR),2019-2019,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
MM Patel (INDIA),2011-2011,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
SJ Patel (CZK-R),2021-2021,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
PDRL Perera (SL),2006-2006,2,2,2,0,0*,-,0,-,0,0,0,0,0,
T Phaswana (Botsw),2019-2019,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,
Qais Ahmad (AFG),2020-2020,1,1,1,0,0*,-,0,-,0,0,0,0,0,
Rahman Ademi (SRB),2019-2019,2,1,1,0,0*,-,4,0.00,0,0,0,0,0,
DM Richards (WI),2009-2009,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
R Rivas (Chile),2019-2019,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
Rumman Raees (PAK),2016-2018,8,1,1,0,0*,-,0,-,0,0,0,0,0,
Sajid Liaqat (GER),2019-2019,2,1,1,0,0*,-,0,-,0,0,0,0,0,
K Santokie (WI),2011-2014,12,1,1,0,0*,-,0,-,0,0,0,0,0,
I Sawmy (DEN),2019-2019,2,2,1,0,0*,0.00,2,0.00,0,0,1,0,0,
A Shahzad (ENG),2010-2011,3,1,1,0,0*,-,3,0.00,0,0,0,0,0,
Shakeel Ansar (PAK),2012-2012,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
PP Shaw (INDIA),2021-2021,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
B Shikongo (NAM),2019-2021,14,1,0,0,0,0.00,1,0.00,0,0,1,0,0,
BA Simango (Moz),2019-2019,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
M Simmons (BMUDA),2019-2019,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0,
